order,shipped,returned,ordered date,product code,customer id,qty,price
23454,01/08/2006,,01/01/2006,ACD,65345,2,2.50
23457,01/13/2006,01/18/2006,01/06/2006,ACD,343434,6,600.99
23460,01/18/2006,,01/11/2006,ACX,3434,7,4.56
23463,01/23/2006,,01/16/2006,PMR,3267,5,34.00
23466,01/28/2006,,01/21/2006,ACX,6345,2,2.99
23469,02/02/2006,02/14/2006,01/26/2006,PMR,8787,4,9.99
23472,02/07/2006,,01/31/2006,DFG,23544,5,2.99
23475,02/12/2006,,02/05/2006,DFR,3267,1,2.99
23478,02/17/2006,,02/10/2006,GFH,9876,5,2.99
23481,,,02/15/2006,PMX,456676,1,2.99
23484,,,02/20/2006,TVR,23354,2,2.99
23487,,,02/25/2006,ACD,34565,6,2.99
